cod_transicao;frase_generica;frase_dependencia;frase_morte;atendimento_humano
81;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
82;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
83;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
84;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
85;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
86;Verificamos que este pedido de indenização foi feito após o prazo estabelecido em lei para dar entrada no Seguro DPVAT e, por esse motivo, o processo foi negado, conforme carta enviada para o beneficiário.;N/A;N/A;N/A
87;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
88;Lamentamos informar, mas o seu pedido de indenização do Seguro DPVAT foi cancelado por conta da não entrega da documentação complementar, fundamental para a análise correta do processo. Mas, atenção: você poderá abrir uma nova solicitação no mesmo ponto de atendimento ou através do site pedidodpvat.seguradoralider.com.br, enviando a documentação apresentada anteriormente assim como os itens faltantes.;N/A;N/A;N/A
89;Lamentamos informar, mas o seu pedido de indenização do Seguro DPVAT foi cancelado por conta da não entrega da documentação complementar, fundamental para a análise correta do processo. Mas, atenção: você poderá abrir uma nova solicitação no mesmo ponto de atendimento ou através do site pedidodpvat.seguradoralider.com.br, enviando a documentação apresentada anteriormente assim como os itens faltantes.;N/A;N/A;N/A
08A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
08B;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
08C;"Recebemos sua documentação complementar e informamos que está em fase de digitalização.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
08D;Em complemento à análise do pedido, foi agendada uma análise médica presencial, já que não foi possível identificar, na documentação apresentada, a existência e o grau de lesões permanentes ocasionadas pelo acidente de trânsito. No entanto, como a vítima não compareceu ao exame, o pedido não foi finalizado.  Caso tenha interesse em dar continuidade ao processo,  clique em Atualização de dados e preencha o formulário.;N/A;N/A;N/A
08E;Informamos que o pedido de indenização foi aprovado, mas o crédito de pagamento não foi aceito pelo banco por inconsistência nos dados bancários fornecidos no seu cadastro. Acesse: https://www.seguradoralider.com.br/Documents/formularios-indenizacao/Formulario_Unico.pdf para imprimir um novo Formulário de Pedido do Seguro DPVAT e atualizar os seus dados bancários, em seguida acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.  O pagamento será realizado em até 30 dias após o envio das informações corretas. ;N/A;N/A;N/A
08F;O pedido de indenização do Seguro DPVAT não teve sua análise continuada devido à alguma inconsistência.  ;N/A;N/A;SIM
08G;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
08H;"Recebemos sua documentação complementar e o pedido de indenização está em análise na Seguradora Líder, em fase de verificação das lesões sofridas pela vítima no acidente.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
08I;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
08J;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
08K;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
08L;O pedido de indenização do Seguro DPVAT não teve sua análise continuada devido à alguma inconsistência.  ;N/A;N/A;SIM
08M;O pedido de indenização do Seguro DPVAT não teve sua análise continuada devido à alguma inconsistência.  ;N/A;N/A;SIM
08N;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
08O;"O pedido de indenização do Seguro DPVAT está em fase de agendamento de análise médica presencial. Em breve, entraremos em contato por telefone ou carta para marcar o exame. É muito importante que a vítima compareça no dia e horário agendados, levando um documento de identificação original com foto. O não comparecimento gera pendência, atrasando a conclusão do processo.
Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
08P;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
08Q;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
08R;"Informamos que a solicitação de reanálise deste pedido de indenização não pôde ser concluída devido ao não recebimento dos documentos complementares solicitados na última correspondência enviada. Como não identificamos, na documentação apresentada anteriormente, novas lesões ou agravamento da(s) sequela(s) já indenizada(s), o pedido foi finalizado, permanecendo o valor já pago. 
";N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
08S;"O pedido de indenização do Seguro DPVAT está em fase de agendamento de análise médica presencial. Em breve, entraremos em contato por telefone ou carta para marcar o exame. É muito importante que a vítima compareça no dia e horário agendados, levando um documento de identificação original com foto. O não comparecimento gera pendência, atrasando a conclusão do processo.
Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
08T;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
08Y;Informamos que o pedido de indenização foi aprovado, mas o crédito de pagamento não foi aceito pelo banco por inconsistência nos dados bancários fornecidos no seu cadastro. Acesse: https://www.seguradoralider.com.br/Documents/formularios-indenizacao/Formulario_Unico.pdf para imprimir um novo Formulário de Pedido do Seguro DPVAT e atualizar os seus dados bancários, em seguida acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.  O pagamento será realizado em até 30 dias após o envio das informações corretas. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
08Z;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
90;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
91;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
92;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
93;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
94;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
95;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
96;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
97;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
98;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
09A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
09B;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
09C;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
09D;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
09N;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
09O;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
09P;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
09Q;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
09R;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
09S;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
09T;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
09U;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
09V;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
09W;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
09X;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
09Y;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
09Z;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
0A0;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
0A1;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0A2;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0A3;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0A4;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
0A5;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0A6;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0A7;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
0A8;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
0A9;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
0AA;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
0AB;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AC;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AD;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
0AE;Informamos que este pedido de indenização foi concluído, com o pagamento realizado  na conta bancária indicada. ;N/A;N/A;N/A
0AF;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
0AG;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
0AH;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AI;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AJ;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
0AK;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
0AL;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
0AM;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AN;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AO;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AP;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AQ;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
0AR;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AS;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AT;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AU;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AV;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0AX;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AY;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0AZ;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0B0;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
0B1;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0B2;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
0B3;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
0B4;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
0B5;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0B6;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0B7;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
0B8;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
0B9;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BA;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0BB;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
0BC;"Recebemos sua documentação complementar e informamos que está em fase de digitalização.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
0BD;"O pedido de indenização do Seguro DPVAT foi cadastrado e a documentação está em fase de digitalização. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
0BE;"O pedido de indenização do Seguro DPVAT foi cadastrado e a documentação está em fase de digitalização. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
0BG;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BH;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BI;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BJ;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BK;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BL;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BM;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BN;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
0BO;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0BP;O pedido de indenização do Seguro DPVAT não teve sua análise continuada devido à alguma inconsistência.  ;N/A;N/A;SIM
0BQ;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
0BR;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
0BS;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
